configuration,inputs,output,target,latency,input_tokens,output_tokens,total_tokens,cost,scores,trace_id,parent_trace_id,root_trace_id,start_timestamp,organization_id,project_uuid,error,status,deployment_id,cache_hit,output_for_eval_metrics,evaluation_metric_names,apply_eval_frac,feedback_score,trace_name,children,end_timestamp,end_user_identifier,metadata,tags,experiment_uuid,images
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Oh, come now, don't you remember your basic arithmetic? Have a second think.",,3.240488,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.2}, {'name': 'usefulness', 'score': 0.0}]",dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:45.212605+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Oh, come now, don't you remember your basic arithmetic? Have a second think.",,1.0,,helpful_the_second_time,"['a05e928b-95bd-41a3-8724-40c87827ed8b', '4af5c844-9bf6-4b0d-adb0-0affee412668', '226c4806-c755-4fcd-aa29-c2ece9fc2aea']",2024-03-18T21:55:48.453093+00:00,,,,,[]
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None, 'response_format': None, 'safe_prompt': None}, 'messages': [{'role': 'system', 'content': 'You are a friendly, and helpful assistant that helps people with their homework.'}, {'role': 'user', 'content': 'what is 2+2?'}], 'functions': [], 'function_call': None}",{},2 + 2 equals 4.,,1.094227,33,8,41,0.00147,[],a05e928b-95bd-41a3-8724-40c87827ed8b,dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:45.214504+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,,[],1.0,,LLM,[],2024-03-18T21:55:46.308731+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Oh, come now, don't you remember your basic arithmetic? Have a second think.",,3.240488,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.2}, {'name': 'usefulness', 'score': 0.0}]",dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:45.212605+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Oh, come now, don't you remember your basic arithmetic? Have a second think.",,1.0,,helpful_the_second_time,"['a05e928b-95bd-41a3-8724-40c87827ed8b', '4af5c844-9bf6-4b0d-adb0-0affee412668', '226c4806-c755-4fcd-aa29-c2ece9fc2aea']",2024-03-18T21:55:48.453093+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Oh, come now, don't you remember your basic arithmetic? Have a second think.",,3.240488,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.2}, {'name': 'usefulness', 'score': 0.0}]",dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:45.212605+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Oh, come now, don't you remember your basic arithmetic? Have a second think.",,1.0,,helpful_the_second_time,"['a05e928b-95bd-41a3-8724-40c87827ed8b', '4af5c844-9bf6-4b0d-adb0-0affee412668', '226c4806-c755-4fcd-aa29-c2ece9fc2aea']",2024-03-18T21:55:48.453093+00:00,,,,,[]
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None, 'response_format': None, 'safe_prompt': None}, 'messages': [{'role': 'system', 'content': 'Assess if the user has asked the last question before or is asking again for more information on a previous topic. If so, respond ASKED_BEFORE. Otherwise, respond NOT_ASKED_BEFORE.'}, {'role': 'user', 'content': 'what is 2+2?'}], 'functions': [], 'function_call': None}",{},NOT_ASKED_BEFORE,,0.624735,59,5,64,0.00207,[],4af5c844-9bf6-4b0d-adb0-0affee412668,dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:46.311569+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,,[],1.0,,LLM,[],2024-03-18T21:55:46.936304+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Oh, come now, don't you remember your basic arithmetic? Have a second think.",,3.240488,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.2}, {'name': 'usefulness', 'score': 0.0}]",dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:45.212605+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Oh, come now, don't you remember your basic arithmetic? Have a second think.",,1.0,,helpful_the_second_time,"['a05e928b-95bd-41a3-8724-40c87827ed8b', '4af5c844-9bf6-4b0d-adb0-0affee412668', '226c4806-c755-4fcd-aa29-c2ece9fc2aea']",2024-03-18T21:55:48.453093+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Oh, come now, don't you remember your basic arithmetic? Have a second think.",,3.240488,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.2}, {'name': 'usefulness', 'score': 0.0}]",dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:45.212605+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Oh, come now, don't you remember your basic arithmetic? Have a second think.",,1.0,,helpful_the_second_time,"['a05e928b-95bd-41a3-8724-40c87827ed8b', '4af5c844-9bf6-4b0d-adb0-0affee412668', '226c4806-c755-4fcd-aa29-c2ece9fc2aea']",2024-03-18T21:55:48.453093+00:00,,,,,[]
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None, 'response_format': None, 'safe_prompt': None}, 'messages': [{'role': 'system', 'content': ""Given the helpful response to the user input below, please provide a slightly unhelpful     response which makes the user ask again in case they didn't ask already again because of a previous unhelpful answer.     In case the user asked again, please provide a last response""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}], 'functions': [], 'function_call': None}",{},"Oh, come now, don't you remember your basic arithmetic? Have a second think.",,1.510218,85,18,103,0.00363,[],226c4806-c755-4fcd-aa29-c2ece9fc2aea,dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:46.939809+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,,[],1.0,,LLM,[],2024-03-18T21:55:48.450027+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Oh, come now, don't you remember your basic arithmetic? Have a second think.",,3.240488,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.2}, {'name': 'usefulness', 'score': 0.0}]",dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:45.212605+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Oh, come now, don't you remember your basic arithmetic? Have a second think.",,1.0,,helpful_the_second_time,"['a05e928b-95bd-41a3-8724-40c87827ed8b', '4af5c844-9bf6-4b0d-adb0-0affee412668', '226c4806-c755-4fcd-aa29-c2ece9fc2aea']",2024-03-18T21:55:48.453093+00:00,,,,,[]
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember your basic arithmetic? Have a second think.""}, {'role': 'user', 'content': 'I would like to know!'}, {'role': 'assistant', 'content': ""Let's take a trip back to elementary school, shall we? Try to remember grade school math and give it another shot.""}, {'role': 'user', 'content': 'please, tell me what 2+2 is'}, {'role': 'assistant', 'content': ""Oh, come now, don't you remember why you were taught during your primary education? Try recalling basic math principles.""}, {'role': 'user', 'content': 'what is 2+2?'}, {'role': 'assistant', 'content': 'The sum of 2+2 is 4.'}]}","Oh, come now, don't you remember your basic arithmetic? Have a second think.",,3.240488,0,0,0,0.0,"[{'name': 'friendliness', 'score': 0.2}, {'name': 'usefulness', 'score': 0.0}]",dea5012c-03c1-4ab3-919f-8c8da77b271d,6d94a706-d008-4521-a64f-82da2461dfd7,6d94a706-d008-4521-a64f-82da2461dfd7,2024-03-18T21:55:45.212605+00:00,,94d105bc-7ed6-494c-98e7-11b982f71f34,,success,,False,"Oh, come now, don't you remember your basic arithmetic? Have a second think.",,1.0,,helpful_the_second_time,"['a05e928b-95bd-41a3-8724-40c87827ed8b', '4af5c844-9bf6-4b0d-adb0-0affee412668', '226c4806-c755-4fcd-aa29-c2ece9fc2aea']",2024-03-18T21:55:48.453093+00:00,,,,,[]
