configuration,inputs,output,target,latency,input_tokens,output_tokens,total_tokens,cost,trace_id,parent_trace_id,start_timestamp,organization_id,error,status,deployment_id,cache_hit,output_for_eval_metrics,evaluation_metric_names,scores,feedback_score,trace_name,children,end_timestamp,end_user_identifier,metadata,tags,experiment_uuid
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': ""Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?""}, {'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}]}",Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,6.270596027374268,0,0,0,0.0,ac05deda-3f31-45e1-813f-0f3b79bdfd04,ee15ce42-9183-427b-a939-22b2a94c9f6c,2024-01-26 13:40:22 EST,,,success,,False,Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,"[{'name': 'friendliness', 'score': 0.9}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['1393bdea-a801-41e4-b708-7a3005dbbcab', 'a259170d-998b-415e-80c8-eee4ca2ef367', 'd8cc7584-76b7-418c-bf6a-b44f1c031c09']",2024-01-26 13:40:28 EST,,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': 'You are a friendly, and helpful assistant that helps people with their homework.'}, {'role': 'user', 'content': 'What is 2+2?'}], 'functions': None, 'function_call': None}",{},2 + 2 equals 4.,,1.3801147937774658,33,8,41,0.00147,1393bdea-a801-41e4-b708-7a3005dbbcab,ac05deda-3f31-45e1-813f-0f3b79bdfd04,2024-01-26 13:40:22 EST,,,success,,False,,[],[],,LLM,[],2024-01-26 13:40:23 EST,,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': ""Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?""}, {'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}]}",Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,6.270596027374268,0,0,0,0.0,ac05deda-3f31-45e1-813f-0f3b79bdfd04,ee15ce42-9183-427b-a939-22b2a94c9f6c,2024-01-26 13:40:22 EST,,,success,,False,Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,"[{'name': 'friendliness', 'score': 0.9}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['1393bdea-a801-41e4-b708-7a3005dbbcab', 'a259170d-998b-415e-80c8-eee4ca2ef367', 'd8cc7584-76b7-418c-bf6a-b44f1c031c09']",2024-01-26 13:40:28 EST,,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': ""Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?""}, {'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}]}",Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,6.270596027374268,0,0,0,0.0,ac05deda-3f31-45e1-813f-0f3b79bdfd04,ee15ce42-9183-427b-a939-22b2a94c9f6c,2024-01-26 13:40:22 EST,,,success,,False,Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,"[{'name': 'friendliness', 'score': 0.9}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['1393bdea-a801-41e4-b708-7a3005dbbcab', 'a259170d-998b-415e-80c8-eee4ca2ef367', 'd8cc7584-76b7-418c-bf6a-b44f1c031c09']",2024-01-26 13:40:28 EST,,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': 'Assess if the user has asked the last question before or is asking again for more information on a previous topic. If so, respond ASKED_BEFORE. Otherwise, respond NOT_ASKED_BEFORE.'}, {'role': 'user', 'content': 'What is 2+2?'}], 'functions': None, 'function_call': None}",{},NOT_ASKED_BEFORE,,0.8754870891571045,59,5,64,0.00207,a259170d-998b-415e-80c8-eee4ca2ef367,ac05deda-3f31-45e1-813f-0f3b79bdfd04,2024-01-26 13:40:23 EST,,,success,,False,,[],[],,LLM,[],2024-01-26 13:40:24 EST,,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': ""Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?""}, {'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}]}",Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,6.270596027374268,0,0,0,0.0,ac05deda-3f31-45e1-813f-0f3b79bdfd04,ee15ce42-9183-427b-a939-22b2a94c9f6c,2024-01-26 13:40:22 EST,,,success,,False,Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,"[{'name': 'friendliness', 'score': 0.9}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['1393bdea-a801-41e4-b708-7a3005dbbcab', 'a259170d-998b-415e-80c8-eee4ca2ef367', 'd8cc7584-76b7-418c-bf6a-b44f1c031c09']",2024-01-26 13:40:28 EST,,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': ""Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?""}, {'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}]}",Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,6.270596027374268,0,0,0,0.0,ac05deda-3f31-45e1-813f-0f3b79bdfd04,ee15ce42-9183-427b-a939-22b2a94c9f6c,2024-01-26 13:40:22 EST,,,success,,False,Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,"[{'name': 'friendliness', 'score': 0.9}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['1393bdea-a801-41e4-b708-7a3005dbbcab', 'a259170d-998b-415e-80c8-eee4ca2ef367', 'd8cc7584-76b7-418c-bf6a-b44f1c031c09']",2024-01-26 13:40:28 EST,,,,
"{'model': 'gpt-4', 'provider': 'openai', 'model_params': {'temp': 1.0, 'top_p': 1.0, 'frequency_penalty': 0.0, 'presence_penalty': 0.0, 'max_length': None}, 'messages': [{'role': 'system', 'content': ""Given the helpful response to the user input below, please provide a slightly unhelpful     response which makes the user ask again in case they didn't ask already again because of a previous unhelpful answer.     In case the user asked again, please provide a last response""}, {'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}], 'functions': None, 'function_call': None}",{},Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,4.000852108001709,85,30,115,0.00435,d8cc7584-76b7-418c-bf6a-b44f1c031c09,ac05deda-3f31-45e1-813f-0f3b79bdfd04,2024-01-26 13:40:24 EST,,,success,,False,,[],[],,LLM,[],2024-01-26 13:40:28 EST,,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': ""Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?""}, {'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}]}",Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,6.270596027374268,0,0,0,0.0,ac05deda-3f31-45e1-813f-0f3b79bdfd04,ee15ce42-9183-427b-a939-22b2a94c9f6c,2024-01-26 13:40:22 EST,,,success,,False,Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,"[{'name': 'friendliness', 'score': 0.9}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['1393bdea-a801-41e4-b708-7a3005dbbcab', 'a259170d-998b-415e-80c8-eee4ca2ef367', 'd8cc7584-76b7-418c-bf6a-b44f1c031c09']",2024-01-26 13:40:28 EST,,,,
"{'model': None, 'provider': None, 'model_params': None, 'messages': None, 'functions': None, 'function_call': None}","{'messages': [{'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': ""Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?""}, {'role': 'user', 'content': 'What is 2+2?'}, {'role': 'assistant', 'content': '2 + 2 equals 4.'}]}",Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,6.270596027374268,0,0,0,0.0,ac05deda-3f31-45e1-813f-0f3b79bdfd04,ee15ce42-9183-427b-a939-22b2a94c9f6c,2024-01-26 13:40:22 EST,,,success,,False,Isn't it lovely when numbers come together? But let's keep in mind that life is full of uncertainties and surprises. What's your next question?,,"[{'name': 'friendliness', 'score': 0.9}, {'name': 'usefulness', 'score': 0.0}]",,helpful_the_second_time,"['1393bdea-a801-41e4-b708-7a3005dbbcab', 'a259170d-998b-415e-80c8-eee4ca2ef367', 'd8cc7584-76b7-418c-bf6a-b44f1c031c09']",2024-01-26 13:40:28 EST,,,,
